,MSSubClass,MSZoning,LotArea,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Foundation,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SaleCondition,SalePrice
18,20,3,9.524786081697178,0,10,3,5,5,4,4,10,4,1,646,0,468,1114,4,7.01571242048723,0,0,1,2,6,4,1,2,4.0,1,2,576,0,102,0,0,0,0,3,11.976659481202368
19,20,3,8.930626469173578,0,8,3,5,6,51,44,8,2,1,504,0,525,1029,2,7.199678345691172,0,0,0,1,6,3,1,4,51.0,1,1,294,0,0,0,0,0,0,0,11.842229212112828
20,60,3,9.5620530240851,1,21,5,8,5,1,0,10,4,3,0,0,1158,1158,4,7.05444965813294,1218,0,0,2,9,4,4,5,1.0,2,3,853,240,154,0,0,0,0,4,12.692503112461443
21,45,1,8.915835074176277,0,0,2,7,7,77,57,2,4,1,0,0,637,637,4,7.010311867307229,0,0,0,2,6,4,4,4,77.0,1,1,280,0,0,205,0,0,0,3,
22,20,3,9.184201714366488,0,14,3,8,5,6,6,10,4,1,0,0,1777,1777,4,7.492760300922379,0,0,0,2,7,4,4,4,6.0,2,2,534,171,159,0,0,0,0,3,12.345834587905333
23,120,1,8.348537825386098,0,1,3,5,7,31,31,9,4,1,840,0,200,1040,2,6.966024187106113,0,0,1,1,6,4,3,4,31.0,1,2,572,100,110,0,0,0,0,3,11.77452020265869
24,20,3,9.017483513266844,0,6,3,5,8,42,9,7,2,2,188,668,204,1060,4,6.966024187106113,0,0,1,2,6,4,3,4,42.0,1,1,270,406,90,0,0,0,0,3,11.944707881395766
25,20,3,9.563107691083898,1,21,3,8,5,2,2,10,4,1,0,0,1566,1566,4,7.3777589082278725,0,0,0,2,7,4,4,4,2.0,2,3,890,0,56,0,0,0,0,3,12.454103912352162
26,20,3,8.881836305004146,1,8,3,5,7,59,10,2,2,2,234,486,180,900,2,6.802394763324311,0,0,0,2,5,4,1,2,5.0,1,2,576,222,32,0,0,0,0,3,11.811547477460344
27,20,3,9.348187438668308,0,21,3,8,5,3,2,10,4,1,1218,0,486,1704,4,7.440733707389261,0,0,1,2,7,4,4,4,2.0,2,3,772,0,50,0,0,0,0,3,
28,20,3,9.700207901150696,4,8,3,5,6,49,9,4,2,4,1277,0,207,1484,2,7.3777589082278725,0,0,1,1,6,4,4,4,49.0,2,1,319,288,258,0,0,0,0,3,12.24288661865289
29,30,1,8.752107198329362,0,3,3,4,6,81,58,4,1,1,0,0,520,520,1,6.253828811575473,0,0,0,0,4,4,1,2,88.0,1,1,240,49,0,87,0,0,0,3,11.134589024250317
30,70,0,9.047821442478408,0,0,5,4,4,88,58,8,1,1,0,0,649,649,2,6.47543271670409,668,0,0,1,6,4,1,2,88.0,1,1,250,0,54,172,0,0,0,3,
31,20,3,9.052984561199976,4,6,3,5,6,42,2,6,2,1,0,0,1228,1228,3,7.113142108707088,0,0,0,2,6,4,1,4,42.0,1,1,271,0,65,0,0,0,0,3,11.914047823644255
32,20,3,9.310095205113175,1,14,3,8,5,1,1,10,4,3,0,0,1234,1234,4,7.1180162044653335,0,0,0,2,7,4,1,4,1.0,2,2,484,0,30,0,0,0,0,3,12.100156419938624
33,20,3,9.26407069439715,0,8,3,5,5,51,51,8,2,1,1018,0,380,1398,3,7.438383530044307,0,0,0,2,6,4,4,4,51.0,2,2,447,0,38,0,0,0,0,3,12.016726473799254
34,120,3,8.89740886527095,0,21,3,9,5,2,2,4,4,1,1153,0,408,1561,4,7.353081920515432,0,0,1,3,6,4,4,4,2.0,3,2,556,203,47,0,0,0,0,3,12.533576212168626
35,60,3,9.504352368122833,0,21,5,8,5,2,1,10,4,3,0,0,1117,1117,4,7.0317412587631285,1320,0,0,2,9,4,4,5,2.0,3,3,691,113,32,0,0,0,0,3,12.641096555879882
36,20,3,9.2927495082169,1,14,3,5,5,15,14,10,4,1,0,0,1097,1097,4,7.00033446027523,0,0,0,1,6,4,1,4,14.0,1,2,672,392,64,0,0,0,0,3,11.884489021402711
37,20,3,9.05157907959124,0,8,3,5,6,55,19,2,2,1,1213,0,84,1297,3,7.167809184316444,0,0,0,1,5,4,3,4,55.0,3,2,498,0,0,0,0,0,0,3,11.938193200374572
38,20,3,8.977398978181862,0,8,3,5,7,57,3,10,2,1,731,0,326,1057,2,6.963189985870238,0,0,1,2,5,4,1,2,57.0,1,1,246,0,52,0,0,0,0,0,11.59910316121128
39,90,3,8.706159290928861,0,5,3,4,5,53,53,0,4,0,0,0,0,0,2,7.049254841255837,0,0,0,0,6,4,1,0,28.0,0,0,0,0,0,0,0,0,0,1,11.314474526246391
40,20,3,9.066239028001926,0,8,3,6,5,41,41,2,2,1,643,0,445,1088,4,7.188412736496954,0,0,0,1,6,4,3,4,41.0,2,2,440,0,138,0,0,0,0,0,
41,20,3,9.735364715141987,0,19,3,5,6,48,48,10,2,4,967,0,383,1350,3,7.191429330036379,0,0,0,1,5,4,4,4,48.0,2,1,308,0,104,0,0,0,0,3,12.043553716032399
42,85,3,9.124782483614537,4,10,0,5,7,24,24,6,2,3,747,93,0,840,3,6.784457062637643,0,0,1,2,5,4,1,4,24.0,2,2,504,240,0,0,0,0,0,3,11.877568578558138
43,20,3,9.126958763037132,4,14,3,5,6,33,28,10,2,3,280,491,167,938,2,6.843749949006225,0,0,1,1,5,4,1,2,31.0,1,1,308,145,0,0,0,0,0,3,11.777210959615614
44,20,3,8.980298078970817,0,8,3,5,6,47,47,8,2,1,179,506,465,1150,4,7.047517221357296,0,0,1,1,6,4,1,4,47.0,2,1,300,0,0,0,0,0,0,3,11.856515169360305
45,120,3,8.943506132037239,0,21,3,9,5,5,5,4,4,1,456,0,1296,1752,4,7.468513271496337,0,0,1,3,6,4,4,4,5.0,2,2,576,196,82,0,0,0,0,3,12.675763725937609
46,50,3,9.458917724547202,4,9,1,7,5,6,6,10,4,1,1351,0,83,1434,4,7.325148957955575,631,0,1,2,6,4,5,4,6.0,2,2,670,168,43,0,0,198,0,0,12.387085012375499
47,20,4,9.314339961994667,0,18,3,8,5,1,1,10,4,3,24,0,1632,1656,4,7.412160334945205,0,0,0,2,7,4,1,4,1.0,2,3,826,0,146,0,0,0,0,3,
48,190,1,8.40200678160712,0,4,5,4,5,89,1,4,1,1,0,0,736,736,3,6.601230118728877,716,0,0,1,8,4,1,0,29.0,0,0,0,0,0,102,0,0,0,4,11.635143097694478
49,20,3,8.954415331137593,0,6,3,5,7,41,41,6,2,1,763,0,192,955,4,6.86171134048073,0,0,1,1,6,4,1,4,41.0,1,1,386,0,0,0,0,0,0,3,11.751942365440728
50,60,3,9.537411412656335,1,13,5,6,6,10,10,10,4,3,182,0,612,794,3,6.677083461247136,676,0,0,1,6,4,1,4,10.0,3,2,388,0,75,0,0,0,0,3,12.083905011555967
51,50,1,8.738735461363474,0,3,1,6,6,72,56,2,4,1,0,0,816,816,2,6.704414354964107,0,360,0,1,6,4,4,2,21.0,1,2,528,112,0,0,0,0,0,3,11.648330101976432
52,90,1,9.044521887281242,1,0,3,5,5,47,47,2,2,4,104,712,0,816,2,6.704414354964107,0,0,1,1,5,4,1,1,47.0,1,2,516,106,0,0,0,0,0,3,11.608235644774552
53,20,3,10.825183649068833,0,11,3,9,5,25,19,3,2,4,1810,0,32,1842,3,7.518607216815252,0,0,2,2,5,4,4,4,25.0,3,3,894,857,72,0,0,0,0,3,12.86099861326992
54,80,3,8.872627365918836,0,8,4,5,5,52,52,4,2,1,384,0,0,384,2,7.215239978730097,0,0,0,1,6,3,3,2,45.0,1,2,572,0,50,0,0,0,0,3,
55,20,3,9.227689010310796,0,8,3,6,5,44,44,6,2,1,490,0,935,1425,3,7.261927092702751,0,0,0,1,7,4,4,4,44.0,2,2,576,0,0,0,407,0,0,3,12.103486056755072
56,160,4,7.8804263442924,0,18,5,8,5,10,9,4,4,1,649,0,321,970,4,6.890609120147166,756,0,1,2,7,4,1,4,10.0,3,2,480,115,0,0,0,0,0,0,12.058152515453552
57,60,3,9.36263218231844,1,14,5,7,5,2,2,10,4,1,0,0,860,860,4,6.756932389247553,860,0,0,2,7,4,1,4,2.0,2,2,565,0,70,0,0,0,0,3,12.188417710291453
58,60,3,9.523836379320944,4,20,5,10,5,0,0,10,4,4,0,0,1410,1410,4,7.262628600974241,1519,0,0,2,10,4,4,5,0.0,3,3,641,192,0,37,0,0,0,4,12.991753427493052
59,20,3,8.881836305004146,0,14,3,5,7,36,36,6,2,3,632,0,148,780,4,6.659293919683638,0,0,0,1,4,4,1,2,35.0,1,1,352,196,0,0,0,0,0,3,11.73526869611367
60,20,3,9.478227817099784,0,10,3,6,5,2,2,10,4,1,941,0,217,1158,4,7.05444965813294,0,0,1,2,5,4,1,2,0.0,1,2,576,0,50,0,0,0,0,4,11.970350312009105
61,75,1,8.881836305004146,0,0,2,5,7,87,11,4,1,1,0,0,530,530,2,6.364750756851911,530,0,0,0,6,4,1,2,72.0,1,1,288,0,0,144,0,0,0,3,11.522875795823397
62,120,3,8.770594329891145,0,21,3,8,5,1,1,10,4,2,24,0,1346,1370,4,7.222566018822171,0,0,0,2,6,4,4,4,1.0,2,2,484,120,49,0,0,0,0,3,12.218495165528731
63,70,1,9.239899174217728,0,4,5,7,6,89,60,5,1,1,0,0,576,576,3,6.804614520062624,808,0,0,1,9,4,1,2,20.0,1,2,480,12,11,64,0,0,0,3,11.84939770159144
64,60,3,9.14580185083861,0,14,5,7,5,12,11,10,4,1,739,0,318,1057,4,6.963189985870238,977,0,1,2,8,4,1,4,11.0,2,2,645,576,36,0,0,0,0,3,12.299107511497363
65,60,3,9.16858043772795,0,21,5,8,5,3,2,10,4,3,0,0,1143,1143,4,7.04141166379481,1330,0,0,2,9,4,4,5,3.0,2,3,852,192,151,0,0,0,0,3,12.666657052859417
66,20,3,9.898475010712584,0,8,3,7,5,40,21,7,2,4,912,0,1035,1947,2,7.699389406256737,0,0,1,1,7,3,4,4,40.0,2,2,576,301,0,0,0,0,0,3,12.100712129872347
67,20,3,9.274722630905451,0,14,3,7,5,4,4,10,4,3,1013,0,440,1453,4,7.2991214627108,0,0,1,2,7,4,1,4,4.0,2,2,558,144,29,0,0,0,0,3,
68,30,1,8.435549202375727,1,4,3,4,6,65,60,4,2,1,0,0,747,747,2,6.616065185132817,0,0,0,1,4,4,1,4,65.0,1,1,220,0,0,0,0,0,0,3,11.289781913656018
69,50,3,9.654577374584886,1,17,1,7,4,53,53,8,2,1,603,0,701,1304,2,7.1731917424865985,983,0,0,1,7,4,3,4,53.0,3,2,667,0,21,114,0,0,0,3,12.323855681186558
70,20,3,9.521568058002977,0,8,3,7,6,34,34,7,2,4,1880,0,343,2223,4,7.706612913964197,0,0,1,1,8,4,4,4,34.0,3,2,516,300,0,0,0,0,0,3,
71,20,3,8.935771938669784,1,9,3,4,6,25,1,6,2,1,565,0,280,845,2,6.739336627357174,0,0,1,1,4,4,1,2,20.0,1,2,360,0,0,0,0,0,0,3,11.771436160121729
72,60,3,9.224341891611996,1,13,5,7,5,11,11,10,4,1,0,0,832,832,3,6.785587645007929,833,0,0,1,7,4,3,4,11.0,3,2,427,0,94,0,0,291,0,3,12.128111104060462
73,20,3,9.230142999272362,0,8,3,5,7,56,7,2,2,1,320,362,404,1086,3,6.990256500493881,0,0,1,1,6,4,1,4,21.0,1,2,490,0,0,0,0,0,0,3,
74,50,1,8.663887570567042,1,4,5,3,6,95,60,10,2,1,0,0,840,840,3,6.733401891837359,765,0,0,1,8,4,1,2,95.0,1,1,379,0,0,202,0,0,0,3,
75,180,1,7.3752557780097545,0,1,4,4,5,36,36,9,2,4,462,0,0,462,2,6.26530121273771,462,0,1,1,5,4,1,5,36.0,1,1,297,120,101,0,0,0,0,3,
76,20,3,9.044875932248651,0,8,3,4,7,52,52,10,2,1,228,0,724,952,4,6.858565034791365,0,0,0,1,4,4,1,2,52.0,1,1,283,0,0,0,0,0,0,3,11.818570237796182
77,50,1,9.06357899058078,0,3,1,5,5,60,7,2,2,1,336,41,295,672,2,6.977281341630747,213,0,1,1,6,3,1,2,60.0,1,1,240,0,0,0,0,0,0,3,
78,90,3,9.285262298493443,0,6,3,4,5,42,42,6,2,1,0,0,1768,1768,2,7.477604243197589,0,0,0,1,8,4,1,0,30.0,0,0,0,0,0,0,0,0,0,3,
79,50,1,9.25339986143663,1,4,5,5,6,99,28,2,4,1,0,0,440,440,3,6.525029657843462,548,0,0,1,5,4,1,2,43.0,1,2,440,74,0,128,0,0,0,3,11.608235644774552
80,60,3,9.472704636443673,1,8,5,6,6,41,41,10,2,1,448,0,448,896,2,7.074963197966044,960,0,0,2,8,4,4,4,41.0,3,1,509,0,72,0,0,252,0,3,
81,120,1,8.411832675758411,2,9,3,6,5,8,8,10,4,1,1201,0,36,1237,4,7.198183577101943,0,0,1,1,5,4,1,4,8.0,3,2,405,0,199,0,0,0,0,3,
82,20,3,9.230731061623917,0,18,3,8,5,1,1,10,4,1,33,0,1530,1563,4,7.354362330421477,0,0,0,2,6,4,4,4,1.0,2,3,758,144,99,0,0,0,0,3,
83,20,3,9.092907275084087,0,8,3,5,5,47,47,4,2,1,0,0,1065,1065,3,6.970730078143525,0,0,0,1,6,4,1,2,33.0,1,2,461,74,0,0,0,0,0,3,11.747997587149712
84,80,3,9.051344640485725,0,13,4,7,5,14,13,6,4,1,0,0,384,384,3,6.6895992691789665,670,0,0,1,7,4,3,5,14.0,3,2,400,120,72,0,0,0,0,3,12.034691028774553
85,60,3,9.68402471906149,1,22,5,8,5,15,14,6,2,1,0,0,1288,1288,4,7.170888478512505,1116,0,0,2,9,4,3,4,15.0,1,2,462,127,82,0,0,0,0,3,12.468436909997665
86,60,3,9.385217621880901,0,13,5,6,5,4,4,10,4,3,0,0,684,684,4,6.52795791762255,876,0,0,2,6,4,4,5,4.0,3,2,400,100,38,0,0,0,0,3,
87,160,4,8.281723990411392,1,18,5,6,5,0,0,10,4,3,0,0,612,612,4,6.416732282512326,612,0,0,2,4,4,1,2,0.0,2,2,528,0,234,0,0,0,0,4,
88,50,0,9.0442857876461,1,0,1,3,2,94,27,7,2,1,0,0,1013,1013,2,6.920671504248683,0,513,0,0,6,4,1,0,29.0,0,0,0,0,0,156,0,0,0,0,11.350406535472453
89,20,3,8.995908761263994,0,14,3,4,5,13,12,10,4,1,588,0,402,990,4,6.897704943128636,0,0,1,1,5,4,1,0,27.0,0,0,0,0,0,0,0,0,0,3,11.724805824005728
90,20,3,8.881836305004146,0,8,3,4,5,56,56,8,0,0,0,0,0,0,2,6.946975992135418,0,0,0,1,4,4,1,2,56.0,1,2,420,0,29,0,0,0,0,3,
91,20,3,9.047821442478408,0,8,3,5,3,45,45,6,2,1,600,0,635,1235,2,7.118826249062078,0,0,0,1,6,4,1,4,45.0,1,2,480,0,0,0,0,0,0,0,11.498826540590727
92,30,3,9.500020447090638,0,16,3,5,7,88,3,2,1,1,713,0,163,876,4,6.871091294610546,0,0,1,1,5,4,1,2,88.0,1,2,432,0,0,44,0,0,0,3,12.004568269319446
93,190,0,8.881836305004146,1,4,2,6,6,97,9,4,1,2,1046,0,168,1214,4,7.138866999945524,1031,0,0,1,9,4,4,2,107.0,1,2,506,0,0,0,0,99,0,3,
94,60,3,9.141740280483926,0,14,5,6,5,10,10,10,4,1,648,0,176,824,4,6.807934943699926,881,0,1,2,7,4,1,4,10.0,2,2,684,0,162,0,0,0,0,3,12.229545001715316
95,60,3,9.186559843310778,1,13,5,6,8,16,16,10,4,1,310,0,370,680,3,6.522092798170152,790,0,0,1,6,4,3,5,16.0,3,2,420,232,63,0,0,0,0,3,12.128111104060462
96,20,3,9.236397906295473,0,14,3,7,5,7,7,10,4,3,1162,0,426,1588,4,7.370230641807081,0,0,0,2,6,4,1,4,7.0,2,2,472,158,29,0,0,0,0,3,12.273731294003989
97,20,3,9.298442820197728,0,5,3,4,5,42,42,6,2,1,520,0,440,960,2,6.866933284461882,0,0,1,1,6,4,1,4,42.0,3,1,432,120,0,0,0,0,0,3,11.458997122944673
98,30,3,9.270964993792617,1,5,3,5,5,90,60,2,1,1,108,0,350,458,1,6.727431724850855,0,0,0,1,5,4,1,3,90.0,1,1,366,0,0,77,0,0,0,0,
99,20,3,9.139917907679637,0,8,3,4,5,51,51,7,2,1,569,0,381,950,1,7.110696122978827,0,0,1,1,6,4,1,0,30.0,0,0,0,352,0,0,0,0,0,3,11.76718001130949
100,20,3,9.268892258925797,0,12,3,6,7,33,9,7,4,2,1200,0,410,1610,3,7.383989457978509,0,0,1,2,6,4,3,4,33.0,2,2,480,168,68,0,0,0,0,3,12.230765258120545
101,60,3,9.127610724377186,0,10,5,6,5,25,25,6,2,1,0,0,741,741,2,6.884486652042782,755,0,0,2,7,4,3,4,25.0,3,2,476,192,46,0,0,0,0,3,
102,90,3,8.85623355614316,0,10,3,5,5,30,30,6,0,0,0,0,0,0,2,7.336285660021297,0,0,0,1,8,4,1,4,30.0,1,2,410,0,0,0,0,0,0,1,11.686576205316552
103,20,3,9.249753374333018,1,14,3,7,5,1,1,10,4,1,0,0,1226,1226,4,7.111512116496157,0,0,0,2,6,4,1,4,1.0,2,3,740,0,36,0,0,0,0,3,12.200557464842063
104,50,1,8.956479847999912,1,0,1,7,4,76,57,5,4,1,224,0,816,1040,4,7.111512116496157,592,0,0,1,7,4,3,2,56.0,1,1,240,0,0,0,0,184,0,3,12.040608205802641
105,60,4,9.14580185083861,0,18,5,8,5,5,4,10,4,1,0,0,1053,1053,4,6.959398512133975,939,0,0,2,9,4,4,4,5.0,2,2,648,140,45,0,0,0,0,3,12.429216196844383
106,30,1,9.287301413112312,0,4,3,4,7,122,12,10,1,1,0,0,641,641,3,6.953684210870537,0,0,0,1,6,4,1,2,53.0,1,1,273,0,0,0,0,0,0,3,11.512925464970229
107,20,1,8.699514748210191,0,4,3,5,5,60,58,10,2,1,104,169,516,789,4,6.670766320845874,0,0,0,1,5,4,1,2,60.0,1,1,250,0,0,0,0,0,0,4,11.652687407345388
108,50,1,9.047821442478408,1,0,1,5,7,88,2,9,2,1,0,0,793,793,2,6.904750769961838,520,0,0,0,7,4,1,0,27.0,0,0,0,0,0,144,0,0,0,3,11.652687407345388
109,20,3,9.371693622333941,0,12,3,6,6,33,33,7,2,1,705,0,1139,1844,4,7.519692404116539,0,0,0,1,7,4,3,4,33.0,2,2,546,0,122,0,0,0,0,3,12.154779351142624
110,50,3,9.161675199994901,0,5,1,6,4,52,34,2,2,1,444,0,550,994,3,7.103322062526113,639,0,0,1,7,4,1,4,52.0,1,1,325,182,0,0,0,0,0,3,11.82700601127654
111,80,3,8.955448122347393,0,13,4,7,5,10,10,10,4,1,250,0,134,384,4,6.651571873589727,656,0,0,1,7,4,3,5,10.0,3,2,400,180,0,0,0,0,0,3,12.100712129872347
112,60,3,9.206834232646894,0,14,5,7,5,0,0,10,4,3,984,0,280,1264,4,7.156176637480615,1414,0,1,3,10,4,4,5,0.0,3,3,792,120,184,0,0,168,0,4,12.858319703517948
113,20,3,9.95227771670556,1,16,3,6,5,54,54,2,2,2,35,869,905,1809,2,7.7226775164680035,0,0,1,2,7,4,4,3,54.0,1,2,450,166,120,192,0,0,0,0,12.287652632522597
114,70,3,8.889997357284841,0,16,5,6,8,62,5,2,2,1,774,150,104,1028,4,7.269616749608169,884,0,1,2,9,4,3,2,62.0,1,1,180,224,0,0,0,0,0,3,12.46651198158808
115,160,4,8.080237416216702,1,18,5,6,5,8,8,4,4,1,419,0,310,729,3,6.591673732008658,729,0,0,1,5,4,2,2,8.0,1,2,440,0,32,0,0,0,0,3,12.078239274020289
116,20,3,9.360138737064577,0,6,3,5,5,47,47,2,2,1,170,670,252,1092,2,6.9957661563048505,0,0,0,1,6,4,0,4,47.0,1,1,288,0,20,144,0,0,0,3,
117,20,3,9.05204779298159,1,5,3,5,5,1,0,10,4,1,0,0,1125,1125,3,7.025538314638521,0,0,0,1,5,4,1,4,0.0,1,2,430,80,64,0,0,0,0,4,
118,60,3,9.423514392252901,1,10,5,7,5,20,20,7,4,2,1470,0,203,1673,3,7.4377951216719325,1523,0,1,2,11,4,3,4,20.0,1,3,594,367,0,0,0,0,0,3,12.676076274775909
119,60,3,9.0432226489245,0,14,5,6,5,1,0,10,4,1,0,0,728,728,4,6.590301048196686,728,0,0,2,8,4,4,4,1.0,3,2,390,0,24,0,0,0,0,4,12.007560729337492
120,80,3,9.973619774716505,4,17,4,6,5,37,37,7,2,4,938,0,0,938,4,6.895682697747868,0,0,1,1,4,4,3,4,37.0,1,2,540,0,130,0,130,0,0,3,
121,50,1,8.70946507906336,0,0,1,4,5,68,57,0,4,1,0,0,732,732,3,6.648984550024776,351,0,0,1,4,4,1,2,28.0,1,1,264,0,0,140,0,0,0,3,11.512925464970229
122,20,3,9.155250405658222,1,8,3,6,7,50,50,4,2,1,570,0,510,1080,3,6.984716320118266,0,0,0,1,5,4,1,4,50.0,1,1,288,0,0,0,0,130,0,3,11.820410164718188
123,120,3,8.973604867142505,0,10,3,6,5,15,15,7,4,1,300,0,899,1199,4,7.089243155027514,0,0,0,2,5,4,1,4,15.0,2,2,530,0,63,0,0,0,0,3,11.94405831982697
124,20,3,9.743494841225237,4,12,3,6,5,30,11,6,2,1,0,0,1362,1362,2,7.368970402194793,0,0,0,1,7,4,3,4,30.0,1,2,435,192,0,0,0,0,0,3,12.106252310247962
125,190,1,8.821732380934442,0,0,1,6,8,71,24,2,2,3,490,0,30,520,3,6.253828811575473,0,234,1,1,5,4,1,0,26.0,0,0,0,53,0,0,0,0,0,3,11.344506813345266
126,120,3,8.502688505213357,0,11,3,6,5,31,31,7,2,1,120,0,958,1078,2,6.86484777797086,0,0,0,1,5,4,3,4,30.0,2,2,440,0,205,0,0,0,0,3,
127,45,1,8.38662882139512,0,4,2,5,7,77,57,3,1,1,116,0,556,672,4,6.733401891837359,0,0,0,1,5,4,3,0,27.0,0,0,0,0,0,0,0,0,0,3,11.37366339763672
128,60,3,8.934586870389676,0,8,5,6,5,40,40,10,2,1,512,0,148,660,2,6.492239835020471,688,0,0,1,6,4,2,4,40.0,2,2,453,188,108,0,0,0,0,3,11.951180395901384
129,20,3,9.101975347298058,0,8,3,5,7,48,15,7,2,1,567,28,413,1008,2,6.959398512133975,0,0,0,3,6,4,1,1,8.0,2,2,750,0,80,0,180,0,0,0,11.918390573078392
130,60,3,9.560997243589352,1,8,5,7,6,40,40,4,2,1,445,0,479,924,4,7.103322062526113,941,0,0,2,8,4,4,4,40.0,3,2,487,105,66,0,0,0,0,3,
131,60,3,9.411156511406302,1,13,5,6,5,9,9,10,4,1,695,0,297,992,4,6.92951677076365,1032,0,1,2,7,4,3,5,9.0,2,2,390,24,48,0,0,0,0,3,
132,20,3,8.90761234131913,1,8,3,5,6,48,5,4,2,1,405,0,658,1063,3,7.190676034332207,0,0,1,2,7,4,1,2,33.0,1,2,624,0,0,0,0,0,0,3,11.923378114589433
133,20,3,8.832441791585824,0,19,3,8,5,8,7,10,4,1,1005,0,262,1267,4,7.16703787691222,0,0,1,2,6,4,1,4,8.0,3,2,471,192,25,0,0,0,0,3,
134,20,3,9.24329147211587,0,6,3,5,6,38,13,7,2,1,570,0,891,1461,3,7.450660796211539,0,0,0,1,7,3,3,4,38.0,2,2,440,0,96,180,0,0,0,3,
